12/4/14,4,13:07,4.78,7.93,Detroit; MI,Comcast,0,37.107,Mbits/s,Mbits/s
12/4/14,4,13:08,7.15,16.42,Cleveland; OH,AT&T,0,35.685,Mbits/s,Mbits/s
12/4/14,4,13:09,5.89,6.36,Detroit; MI,T-Mobile,0,28.214,Mbits/s,Mbits/s
12/4/14,4,13:10,5.33,8.83,Detroit; MI,T-Mobile,0,29.339,Mbits/s,Mbits/s
12/4/14,4,13:11,3.88,8.34,Detroit; MI,T-Mobile,0,28.921,Mbits/s,Mbits/s
12/4/14,4,13:12,4.41,10.32,Detroit; MI,T-Mobile,0,29.9,Mbits/s,Mbits/s
12/4/14,4,13:13,4.12,12.36,Cleveland; OH,AT&T,0,36.617,Mbits/s,Mbits/s
12/4/14,4,13:14,3.6,16.12,Cleveland; OH,AT&T,0,35.523,Mbits/s,Mbits/s
12/4/14,4,13:14,5.23,14.47,Cleveland; OH,AT&T,0,35.403,Mbits/s,Mbits/s
12/4/14,4,13:15,4.95,17.03,Cleveland; OH,AT&T,0,36.271,Mbits/s,Mbits/s
12/4/14,4,13:16,5.59,11.42,Detroit; MI,Comcast,0,36.195,Mbits/s,Mbits/s
12/4/14,4,13:17,4.69,9.81,Detroit; MI,Comcast,0,35.901,Mbits/s,Mbits/s
12/4/14,4,13:18,6.63,18.76,Detroit; MI,AT&T,0,35.834,Mbits/s,Mbits/s
12/4/14,4,13:19,6.04,2.47,Detroit; MI,T-Mobile,0,29.228,Mbits/s,Mbits/s
12/4/14,4,13:20,6.48,10.97,Detroit; MI,T-Mobile,0,27.413,Mbits/s,Mbits/s
12/4/14,4,13:21,3.68,17.99,Detroit; MI,AT&T,0,37.008,Mbits/s,Mbits/s
12/4/14,4,13:22,6.68,4.73,Detroit; MI,T-Mobile,0,31.367,Mbits/s,Mbits/s
12/4/14,4,13:23,8.66,16.68,Cleveland; OH,AT&T,0,35.165,Mbits/s,Mbits/s
12/4/14,4,13:24,5,17.05,Cleveland; OH,AT&T,0,34.878,Mbits/s,Mbits/s
12/4/14,4,13:24,11.05,10.53,Detroit; MI,T-Mobile,0,29.034,Mbits/s,Mbits/s
12/4/14,4,13:25,7.92,17.1,Cleveland; OH,AT&T,0,35.654,Mbits/s,Mbits/s
12/4/14,4,13:26,4.47,12.01,Detroit; MI,Comcast,0,36.46,Mbits/s,Mbits/s
12/4/14,4,13:27,10.08,16.52,Cleveland; OH,AT&T,0,35.02,Mbits/s,Mbits/s
12/4/14,4,13:28,6.78,8.56,Detroit; MI,Comcast,0,35.512,Mbits/s,Mbits/s
12/4/14,4,13:28,10.83,14.34,Detroit; MI,Comcast,0,35.575,Mbits/s,Mbits/s
12/4/14,4,13:29,22.17,11.38,Detroit; MI,T-Mobile,0,32.061,Mbits/s,Mbits/s
12/4/14,4,13:30,9.67,14.07,Detroit; MI,Comcast,0,34.179,Mbits/s,Mbits/s
12/4/14,4,13:31,11.58,15.55,Detroit; MI,T-Mobile,0,29.381,Mbits/s,Mbits/s
12/4/14,4,13:31,10.23,10.54,Detroit; MI,Comcast,0,35.616,Mbits/s,Mbits/s
12/4/14,4,13:32,15.01,17.33,Cleveland; OH,AT&T,0,34.833,Mbits/s,Mbits/s
12/4/14,4,13:32,15.48,9.24,Detroit; MI,T-Mobile,0,29.698,Mbits/s,Mbits/s
12/4/14,4,13:33,18.02,13.42,Detroit; MI,T-Mobile,0,28.24,Mbits/s,Mbits/s
12/4/14,4,13:33,17.69,18.21,Detroit; MI,T-Mobile,0,33.127,Mbits/s,Mbits/s
12/4/14,4,13:34,10.54,18.19,Cleveland; OH,AT&T,0,35.882,Mbits/s,Mbits/s
12/4/14,4,13:35,15.41,14.23,Detroit; MI,T-Mobile,0,30.33,Mbits/s,Mbits/s
12/4/14,4,13:36,9.03,16.78,Detroit; MI,Comcast,0,35.431,Mbits/s,Mbits/s
12/4/14,4,13:37,16.24,3.55,Detroit; MI,T-Mobile,0,28.965,Mbits/s,Mbits/s
12/4/14,4,13:37,17.42,17.76,Detroit; MI,T-Mobile,0,30.449,Mbits/s,Mbits/s
